0-10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-100
High,High,Good,Good,Fair,Fair,Fair,Low,Low,Low
High,High,High,Good,Good,Fair,Fair,Fair,Low,Low
Good,High,High,High,Good,Good,Fair,Fair,Fair,Low
Good,Good,High,High,High,Good,Good,Fair,Fair,Fair
Fair,Good,Good,High,High,High,Good,Good,Fair,Fair
Fair,Fair,Good,Good,High,High,High,Good,Good,Fair
Fair,Fair,Fair,Good,Good,High,High,High,Good,Good
Low,Fair,Fair,Fair,Good,Good,High,High,High,Good
Low,Low,Fair,Fair,Fair,Good,Good,High,High,High
Low,Low,Low,Fair,Fair,Fair,Good,Good,High,High
