0-10,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-100
Low,Fair,High,Good,Fair,Fair,Low,Low,Low,Low
Fair,Fair,Good,High,Good,Fair,Fair,Low,Low,Low
High,Good,Good,Good,High,Good,Fair,Fair,Low,Low
Good,High,Good,Good,Good,High,Good,Fair,Fair,Low
Fair,Good,High,Good,Good,Good,High,Good,Fair,Fair
Fair,Fair,Good,High,Good,Good,Good,High,Good,Low
Low,Fair,Fair,Good,High,Good,Good,Good,High,Good
Low,Low,Fair,Fair,Good,High,Good,Good,Good,High
Low,Low,Low,Fair,Fair,Good,High,Good,Fair,Fair
Low,Low,Low,Low,Fair,Low,Good,High,Fair,Low
